No,Pengguna,Rating,Tanggal,Isi Ulasan,Ground Truth,Prediksi Naive Bayes,Prediksi Gemma 3 LLM,Kategori Isu (LLM),Alasan Penalaran AI,Beda Pendapat ML vs LLM
1,Ahmad Rido'i,5,2026-09-11,Aplikasi memudahkan,Positif,Positif,Positif,Fitur & UI/UX,"Ulasan menyatakan aplikasi 'memudahkan', yang mengindikasikan pengalaman pengguna yang positif dan fokus pada kemudahan penggunaan fitur aplikasi. Ini termasuk dalam kategori fitur dan UI/UX.",false
2,Kiso Veo,1,2026-09-11,"Payah, sekelas aplikasi pemerintah kuliatasnya seperti ini untuk pelayanan kesehatan Bayar pajak cuma buat urusan perut pejabat bukan untuk kemaslahatan rakyat",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Ulasan ini mengungkapkan kekecewaan yang kuat terhadap layanan yang diberikan melalui aplikasi, dengan fokus pada masalah antrean dan pelayanan kesehatan secara umum. Penggunaan kata 'payah' dan kritik terhadap 'urusan perut pejabat' menunjukkan ketidakpuasan yang mendalam.",false
3,Egi Hilman,1,2026-09-11,aplikasi nya jelek banget... mau daftar sebgai anggota baru problem trs akhirnya ngulang lagi prosesnya dari awal,Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan aplikasi 'jelek banget' dan mengalami masalah saat pendaftaran serta proses pengulangan yang tidak perlu, mengindikasikan adanya bug atau masalah teknis dalam aplikasi.",false
4,Putraa Hani,1,2026-09-11,"apk jelek bgt susah daftarnya, dulu gampang skrg malah ruett kaya pemerintah",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan aplikasi 'jelek bgt' dan 'susah daftarnya', mengindikasikan masalah dengan performa dan kemudahan penggunaan aplikasi.  Penyebutan 'kaya pemerintah' juga menyiratkan ketidakpuasan terhadap perubahan yang dianggap buruk.",false
5,Yunus Wahyu Setiawan,1,2026-09-11,"Dapet rujukan tapi di faskes lanjutan jadwal penuh berhari hari, mau ke IGD tp ada embel² belum tentu dicover BPJS. Ya gimana, kita yg ngerasain sakitnya tp keputusan dicover BPJS blm pasti. Masa harus nunggu berhari² baru bisa berobat?",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Ulasan mengungkapkan kekesalan terhadap jadwal yang penuh di fasilitas kesehatan lanjutan, serta proses yang tidak pasti dalam penutupan BPJS, yang secara langsung berkaitan dengan pengalaman pasien dalam mengakses layanan kesehatan.",false
6,Elzio Wine,1,2026-09-11,"saya sangat kecewa dengan aplksi mobile jkn,anak saya sakit mau berobat,sedangkn hp saya tidak bisa mendownload aplksi mobile jkn,sedangkn peraturan rumah sakit harus dftr lewat online,lalu bagaiman sya mau berobat ,tolong dong pihak bpjs untuk aplksi biar semua tipe hp atau mmensupprot untk di download,maslah ya ini taruhan nyawa,.sedangkn dri pihak klinik hrus daftar dlu ya ,gimna nie tolong,atau saya laporkan kepda pejabat tinggi ya,kalau menyusahkan org buat berobat",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Pengguna sangat kecewa karena aplikasi tidak dapat diunduh di perangkatnya, yang menyebabkan kesulitan dalam proses berobat yang seharusnya bisa dilakukan secara online sesuai peraturan rumah sakit. Ini menunjukkan masalah teknis yang signifikan dalam aksesibilitas aplikasi.",false
7,Riki Sipahelut,4,2026-09-11,Appnya oke sih,Positif,Positif,Positif,Fitur & UI/UX,"Ulasan 'Appnya oke sih' menunjukkan penilaian positif terhadap aplikasi secara umum, mengindikasikan bahwa fitur dan UI/UX dirasakan memuaskan. Meskipun singkat, kata 'oke' secara implisit mengarah pada pengalaman positif.",false
8,purnawan nawan,3,2026-09-11,susah buat daftar seperti tidak ada perbaikan,Netral,Negatif,Negatif,Fitur & UI/UX,"Ulasan menyatakan kesulitan dalam proses daftar, mengindikasikan masalah dengan desain dan fungsionalitas aplikasi. Ini termasuk pengalaman pengguna yang buruk.",false
9,Bang Jun,1,2026-09-11,aplikasi sering maintenance. mohon untuk ditingkatkan lagi,Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan aplikasi sering mengalami maintenance, yang mengindikasikan masalah teknis dan berdampak negatif pada pengalaman pengguna.  Kata 'mohon untuk ditingkatkan lagi' menyiratkan ketidakpuasan terhadap kondisi aplikasi saat ini.",false
10,Maryam Syarif,5,2026-09-11,kenapa ya kok punya ku tidak bisa ambil antrian tolong dong bantuan nya,Positif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyatakan ketidakmampuan untuk mengambil antrian, yang merupakan masalah langsung terkait dengan layanan faskes dan proses antrean.  Frasa 'tolong dong bantuan nya' menunjukkan frustrasi dan kebutuhan bantuan.",false
11,Fitri Lailatul,5,2026-09-11,mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan 'mantap' menunjukkan kepuasan terhadap aplikasi secara keseluruhan, yang termasuk dalam kategori apresiasi dan kepuasan. Tidak ada indikasi masalah atau keluhan.",false
12,Seni Kaban,5,2026-09-11,terbaik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan 'terbaik' dengan rating bintang 5 mengekspresikan kepuasan maksimal pengguna terhadap kualitas dan fungsionalitas aplikasi Mobile JKN.,false
13,alghifari Taufiq,5,2026-09-11,bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan 'bagus' menunjukkan kepuasan pengguna terhadap aplikasi secara keseluruhan, yang termasuk dalam kategori apresiasi dan kepuasan.",false
14,Zainal Amin,4,2026-09-11,baik,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan 'baik' menunjukkan kepuasan pengguna terhadap aplikasi secara keseluruhan, yang termasuk dalam kategori apresiasi dan kepuasan. Tidak ada indikasi masalah spesifik yang disebutkan.",false
15,Delvin Aldzikry,1,2026-09-11,bt apa daftar online terus dikasih no antri klo ujung ujung ttp aja siapa yg datang duluan no antrian no 1,Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Ulasan menyatakan kekecewaan karena sistem daftar online tidak mengurangi antrean, dan prioritas tetap diberikan kepada orang yang datang lebih awal. Ini mengindikasikan masalah dalam proses antrean dan layanan faskes.",false
16,arla putra,5,2026-09-11,bagus ini,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan 'bagus ini' menunjukkan kepuasan langsung terhadap aplikasi, yang termasuk dalam kategori apresiasi dan kepuasan. Tidak ada indikasi masalah atau keluhan.",false
17,Produksi Masal,5,2026-09-11,aplikasi nya sangat bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan menyatakan aplikasi 'sangat bagus', yang merupakan ungkapan kepuasan langsung terhadap kualitas aplikasi. Kategori ini paling sesuai karena ulasan tersebut tidak menyoroti masalah atau kekurangan.",false
18,Kyb Kyb,5,2026-09-11,"lebih praktis, dan sangat membatu.",Positif,Positif,Positif,Apresiasi & Kepuasan,Pengguna merasa aplikasi lebih praktis dan sangat membantu (kata 'membatu' merupakan kesalahan ketik/typo dari 'membantu'). Kombinasi rating bintang 5 dan kata 'praktis' menunjukkan kepuasan pengguna.,false
19,IraAyu 7002,1,2026-09-11,kenapa harus pake ini kalo app nya eror!!!??? udah verifikasi wajah susah mirornya aneh. Setelah bisa malah disuruh coba lagi karna sistem tidak bisa diproses!!! tolong.,Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan ini mengungkapkan kekesalan mendalam terhadap aplikasi yang mengalami error, masalah dengan fitur mirroring, dan proses pemrosesan yang gagal setelah verifikasi. Pengguna secara eksplisit meminta bantuan dan menunjukkan frustrasi.",false
20,Aan Anwar,5,2026-09-11,oke,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan 'oke' menunjukkan kepuasan dasar terhadap aplikasi, tanpa keluhan spesifik. Ini termasuk dalam kategori apresiasi dan kepuasan.",false
21,Rizky M.Syahrul,1,2026-09-11,"APK SAMPAHHHHHHHHHHH, KODE OTP NYA LAMA SEKALI DI KIRIM UDAH HAMPIR 2 HARI NUNGGU GAK ADA DI KIRIM",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan ketidaksabaran dan kekecewaan terhadap proses pengiriman kode OTP yang terlambat, mengindikasikan masalah teknis pada aplikasi.",false
22,Rvnzaa Putra,1,2026-09-11,bodoh,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Ulasan menggunakan kata 'bodoh' menunjukkan kekecewaan yang kuat terhadap aplikasi. Ini mengindikasikan adanya masalah yang signifikan dengan fungsionalitas atau kinerja aplikasi.,false
23,Noldy Kapia18,1,2026-09-11,🔪,Negatif,Positif,Negatif,Masalah Teknis & Bug,"Emoji '🔪' menunjukkan kekesalan dan kemarahan yang kuat, mengindikasikan masalah serius dengan aplikasi. Ini kemungkinan besar terkait dengan bug atau masalah teknis yang mengganggu fungsi aplikasi.",true
24,sarmi sarmi,4,2026-09-11,"aplikasi tdk bisa digunakan untuk ambil antrian,, sering log out",Positif,Negatif,Negatif,Masalah Teknis & Bug,"Pengguna melaporkan aplikasi tidak berfungsi untuk mengambil antrian dan sering mengalami logout, mengindikasikan masalah teknis yang signifikan yang memengaruhi pengalaman pengguna.",false
25,Ricky Azwhan,1,2026-09-10,"aku pribadi lebih suka mekanis yang dulu sederhana dan terstruktur ketimbang sekarang banyak fitur iya tapi hal yang paling mendasar seperti Memperivikasi nomer telepon terutama saat mengirim kode dengan nomer itu lana sekali, tidak responsif juga untuk login memang ada password, tapi sekali lupa dan salah itu mau atur ulang sandi nya susah sekali kaya mau apa aja, dilihat dari pembaruan nya itu udah ada Ai yang melihat gejala, tapi tidak buat keamanannya di perbaiki, karena itu menjadi dasarnya",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Pengguna sangat tidak puas dengan proses verifikasi nomor telepon yang dianggap 'lana sekali' dan kurang responsif, serta kesulitan dalam mengatur ulang sandi yang dianggap rumit dan tidak efisien. Hal ini menunjukkan masalah serius terkait keamanan dan pengalaman pengguna.",false
26,Doea Pilar Oetama,5,2026-09-10,mudah dan interaktif mantab,Positif,Positif,Positif,Fitur & UI/UX,"Ulasan menyatakan aplikasi 'mudah dan interaktif', yang mengindikasikan kepuasan terhadap desain dan pengalaman pengguna. Kata 'mantab' juga menunjukkan apresiasi terhadap fitur aplikasi.",false
27,STUT COMMUNITY,5,2026-09-10,sangat membantu👍,Positif,Positif,Positif,Apresiasi & Kepuasan,"Ulasan menyatakan 'sangat membantu' dan memberikan rating bintang 5, yang menunjukkan kepuasan pengguna terhadap aplikasi.",false
28,Zhen Ibra,5,2026-09-10,"kenapa mobile jkn mau login nik ktp lain gak bisa lagi,aplikasi ini makin susah aja login",Positif,Negatif,Negatif,Masalah Teknis & Bug,"Pengguna menyatakan frustrasi karena perubahan proses login yang mengharuskan input data baru, serta merasa aplikasi semakin sulit digunakan. Ini mengindikasikan masalah teknis yang memengaruhi pengalaman pengguna.",false
29,muhammad bahiij,1,2026-09-10,"kebanyakan update,fitur utama malah eror,buat daftar antrean online aja kode f1 terus,aplikasi GG",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan fitur utama mengalami eror dan penggunaan kode 'f1' untuk daftar antrean online, mengindikasikan masalah teknis yang signifikan dan ketidakpuasan terhadap kinerja aplikasi.",false
30,Suyanto Diningrat,1,2026-09-10,"susah buat verifikasi wajah, kode OTP ga pernah muncul pdhl nomer HP aktif trs, aplikasi ga berguna",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Ulasan menyatakan kesulitan verifikasi wajah dan masalah kode OTP yang tidak terkirim, menunjukkan adanya masalah teknis yang signifikan pada aplikasi. Pengguna menilai aplikasi tidak berguna, memperkuat sentimen negatif.",false
