original_word,stem_override,polarity_intent,reason
aman,aman,Positif,Melindungi polaritas sentimen positif
bagus,bagus,Positif,Melindungi polaritas sentimen positif
bantuan,bantu,Positif,Layanan bantuan customer
beban,beban,Negatif,Biaya pembebanan administrasi
benahi,perbaiki,Keluhan/Saran,Mencegah terpotong jadi kata positif baik
berkendala,kendala,Negatif,Melindungi polaritas sentimen negatif
bobrok,bobrok,Negatif,Kualitas aplikasi dinilai bobrok
buruk,buruk,Negatif,Melindungi polaritas sentimen negatif
cepat,cepat,Positif,Melindungi polaritas sentimen positif
diamankan,aman,Positif,Sistem keamanan data terlindungi
dibebankan,beban,Negatif,Biaya pembebanan administrasi
dibenahi,perbaiki,Keluhan/Saran,Mencegah terpotong jadi kata positif baik
dibobol,bobol,Negatif,Rekening nasabah dibobol
digagalkan,gagal,Negatif,Melindungi polaritas sentimen negatif
dikecewakan,kecewa,Negatif,Melindungi polaritas sentimen negatif
dikeluhkan,keluh,Negatif,Menyampaikan keluhan kendala
dilancarkan,lancar,Positif,Semua proses dilancarkan
dimudahkan,mudah,Positif,Melindungi polaritas sentimen positif
diperbaiki,perbaiki,Keluhan/Saran,Mencegah terpotong jadi kata positif baik
dipercepat,cepat,Positif,Proses transaksi dipercepat
dipermudah,mudah,Positif,Transaksi menjadi sangat mudah
dipersulit,sulit,Negatif,Melindungi polaritas sentimen negatif
dipotong,potong,Negatif,Pemotongan saldo atau biaya
dirugikan,rugi,Negatif,Melindungi polaritas sentimen negatif
dirusak,rusak,Negatif,Melindungi polaritas sentimen negatif
gagal,gagal,Negatif,Melindungi polaritas sentimen negatif
hancur,hancur,Negatif,Melindungi polaritas sentimen negatif
hebat,hebat,Positif,Melindungi polaritas sentimen positif
jelek,jelek,Negatif,Melindungi polaritas sentimen negatif
kacau,kacau,Negatif,Kondisi sistem aplikasi kacau
keamanan,aman,Positif,Melindungi polaritas sentimen positif
kebagusan,bagus,Positif,Melindungi polaritas sentimen positif
kebingungan,bingung,Negatif,Nasabah merasa bingung
keblokir,blokir,Negatif,Kartu atau akun terblokir
kebobolan,bobol,Negatif,Rekening nasabah dibobol
keburukan,buruk,Negatif,Melindungi polaritas sentimen negatif
kecepatan,cepat,Positif,Melindungi polaritas sentimen positif
kecewa,kecewa,Negatif,Melindungi polaritas sentimen negatif
kegagalan,gagal,Negatif,Melindungi polaritas sentimen negatif
kehancuran,hancur,Negatif,Melindungi polaritas sentimen negatif
kehebatan,hebat,Positif,Melindungi polaritas sentimen positif
kehilangan,hilang,Negatif,Kehilangan dana atau kartu
kejelekan,jelek,Negatif,Melindungi polaritas sentimen negatif
kekacauan,kacau,Negatif,Kekacauan sistem bank
kekecewaan,kecewa,Negatif,Melindungi polaritas sentimen negatif
kelambatan,lambat,Negatif,Melindungi polaritas sentimen negatif
kelancaran,lancar,Positif,Melindungi polaritas sentimen positif
kelemonan,lemot,Negatif,Melindungi polaritas sentimen negatif
keluhan,keluh,Negatif,Pengaduan keluhan nasabah
